"","symbol","date","open","high","low","close","volume","adjusted"
"1","AAPL",2000-01-03,0.936384,1.004464,0.907924,0.999442,535796800,0.854541
"2","AAPL",2000-01-04,0.966518,0.987723,0.90346,0.915179,512377600,0.782495
"3","AAPL",2000-01-05,0.926339,0.987165,0.919643,0.928571,778321600,0.793945
"4","AAPL",2000-01-06,0.947545,0.955357,0.848214,0.848214,767972800,0.725238
"5","AAPL",2000-01-07,0.861607,0.901786,0.852679,0.888393,460734400,0.759592
"6","AAPL",2000-01-10,0.910714,0.912946,0.845982,0.872768,505064000,0.746232
"7","AAPL",2000-01-11,0.856585,0.887277,0.808036,0.828125,441548800,0.708062
"8","AAPL",2000-01-12,0.848214,0.852679,0.772321,0.77846,976068800,0.665597
"9","AAPL",2000-01-13,0.84361,0.881696,0.825893,0.863839,1032684800,0.738598
"10","AAPL",2000-01-14,0.892857,0.912946,0.887277,0.896763,390376000,0.766748
"11","AAPL",2000-01-18,0.901786,0.946429,0.896763,0.928013,459177600,0.793468
"12","AAPL",2000-01-19,0.94308,0.970982,0.922991,0.951451,597643200,0.813508
"13","AAPL",2000-01-20,1.03125,1.084821,1.013393,1.013393,1831132800,0.866469
"14","AAPL",2000-01-21,1.020089,1.020089,0.983817,0.993862,495924800,0.84977
"15","AAPL",2000-01-24,0.968192,1.006696,0.938616,0.948661,440876800,0.811122
"16","AAPL",2000-01-25,0.9375,1.010045,0.914063,1.002232,497145600,0.856926
"17","AAPL",2000-01-26,0.982143,1.019531,0.979911,0.983817,367158400,0.841181
"18","AAPL",2000-01-27,0.97154,1.008929,0.955357,0.982143,340144000,0.83975
"19","AAPL",2000-01-28,0.96596,0.989955,0.898438,0.907366,423348800,0.775814
"20","AAPL",2000-01-31,0.901786,0.927455,0.84375,0.926339,701680000,0.792036
"21","AAPL",2000-02-01,0.928571,0.9375,0.892857,0.895089,318035200,0.765317
"22","AAPL",2000-02-02,0.899554,0.91183,0.866071,0.882254,464195200,0.754343
"23","AAPL",2000-02-03,0.895647,0.930804,0.895089,0.922433,475193600,0.788697
"24","AAPL",2000-02-04,0.928013,0.982143,0.925223,0.964286,425320000,0.824482
"25","AAPL",2000-02-07,0.964286,1.020089,0.945871,1.018415,441067200,0.870763
"26","AAPL",2000-02-08,1.017857,1.03683,0.993304,1.02567,408643200,0.876966
"27","AAPL",2000-02-09,1.018973,1.045759,1.003906,1.00558,299364800,0.859789
"28","AAPL",2000-02-10,1.007813,1.016741,0.982143,1.013393,302982400,0.866469
"29","AAPL",2000-02-11,1.014509,1.018973,0.966518,0.970982,212251200,0.830207
"30","AAPL",2000-02-14,0.976004,1.034598,0.969866,1.03404,367539200,0.884123
"31","AAPL",2000-02-15,1.029018,1.070871,1.02846,1.0625,485744000,0.908457
"32","AAPL",2000-02-16,1.051339,1.054688,1.001116,1.018973,378246400,0.87124
"33","AAPL",2000-02-17,1.02846,1.03125,1.010045,1.02567,289497600,0.876966
"34","AAPL",2000-02-18,1.023438,1.030134,0.989955,0.993304,233441600,0.849293
"35","AAPL",2000-02-22,0.983259,1.044085,0.952567,1.016183,422296000,0.868855
"36","AAPL",2000-02-23,1.011021,1.0625,0.991071,1.037946,473099200,0.887462
"37","AAPL",2000-02-24,1.047433,1.063616,0.997768,1.028599,376432000,0.879471
"38","AAPL",2000-02-25,1.025112,1.044643,0.983259,0.985491,249144000,0.842612
"39","AAPL",2000-02-28,0.983259,1.026786,0.967634,1.011161,328328000,0.864561
"40","AAPL",2000-02-29,1.013951,1.046875,1.005022,1.023438,368961600,0.875058
"41","AAPL",2000-03-01,1.058594,1.179129,1.058036,1.163504,1077003200,0.994817
"42","AAPL",2000-03-02,1.133929,1.142299,1.077567,1.089286,311259200,0.931359
"43","AAPL",2000-03-03,1.114955,1.14495,1.071429,1.142857,323366400,0.977163
"44","AAPL",2000-03-06,1.125,1.152902,1.116071,1.12221,210560000,0.95951
"45","AAPL",2000-03-07,1.128906,1.137835,1.081473,1.097098,273011200,0.938039
"46","AAPL",2000-03-08,1.097098,1.106585,1.058594,1.089286,271230400,0.931359
"47","AAPL",2000-03-09,1.079241,1.116071,1.055804,1.091518,276718400,0.933267
"48","AAPL",2000-03-10,1.086496,1.142299,1.080357,1.122768,248606400,0.959987
"49","AAPL",2000-03-13,1.090402,1.129464,1.066964,1.083147,303956800,0.92611
"50","AAPL",2000-03-14,1.08231,1.109375,1.017857,1.020089,428579200,0.872194
"51","AAPL",2000-03-15,1.032366,1.073661,1.018973,1.037946,443609600,0.887462
"52","AAPL",2000-03-16,1.047433,1.089286,1.022321,1.085379,378100800,0.928019
"53","AAPL",2000-03-17,1.072545,1.116071,1.06808,1.116071,305043200,0.954261
"54","AAPL",2000-03-20,1.102679,1.127232,1.092634,1.098214,204489600,0.938993
"55","AAPL",2000-03-21,1.094308,1.220982,1.085938,1.204799,524328000,1.030125
"56","AAPL",2000-03-22,1.185547,1.289063,1.174665,1.287388,567996800,1.100739
"57","AAPL",2000-03-23,1.267857,1.342634,1.25,1.261719,562564800,1.078793
"58","AAPL",2000-03-24,1.271763,1.285156,1.209821,1.238281,446913600,1.058752
"59","AAPL",2000-03-27,1.228795,1.292411,1.222098,1.246094,279182400,1.065433
"60","AAPL",2000-03-28,1.225446,1.267857,1.22433,1.242188,202966400,1.062093
"61","AAPL",2000-03-29,1.24442,1.244978,1.194894,1.213728,239836800,1.037759
"62","AAPL",2000-03-30,1.192522,1.229353,1.119978,1.122768,414400000,0.959987
"63","AAPL",2000-03-31,1.137835,1.225446,1.125,1.212612,404633600,1.036805
"64","AAPL",2000-04-03,1.209821,1.245536,1.155692,1.19029,328563200,1.01772
"65","AAPL",2000-04-04,1.184152,1.1875,1.042411,1.136719,660329600,0.971915
"66","AAPL",2000-04-05,1.129185,1.186384,1.107143,1.164063,457665600,0.995295
"67","AAPL",2000-04-06,1.166295,1.200893,1.100446,1.117746,259627200,0.955693
"68","AAPL",2000-04-07,1.136161,1.177455,1.120536,1.176339,242435200,1.005791
"69","AAPL",2000-04-10,1.175781,1.185268,1.113839,1.116071,212262400,0.954261
"70","AAPL",2000-04-11,1.102679,1.114955,1.054129,1.066406,541822400,0.911796
"71","AAPL",2000-04-12,1.0625,1.0625,0.936384,0.975446,941136000,0.834024
"72","AAPL",2000-04-13,0.995536,1.071429,0.96875,1.016183,529827200,0.868855
"73","AAPL",2000-04-14,0.976004,1.053571,0.973214,0.998884,667620800,0.854064
"74","AAPL",2000-04-17,0.977679,1.106585,0.973772,1.106027,409561600,0.945673
"75","AAPL",2000-04-18,1.102679,1.132813,1.065848,1.132813,390924800,0.968575
"76","AAPL",2000-04-19,1.126674,1.162946,1.069196,1.081473,520150400,0.924679
"77","AAPL",2000-04-20,1.104353,1.113839,1.045201,1.061384,722120000,0.907502
"78","AAPL",2000-04-24,1.026786,1.075893,1.024554,1.075893,443620800,0.919908
"79","AAPL",2000-04-25,1.090402,1.149554,1.089844,1.145647,391641600,0.979549
"80","AAPL",2000-04-26,1.13058,1.142857,1.071429,1.083147,366912000,0.92611
"81","AAPL",2000-04-27,1.046317,1.133929,1.040876,1.131696,326603200,0.967621
"82","AAPL",2000-04-28,1.135045,1.138393,1.083147,1.107701,249580800,0.947104
"83","AAPL",2000-05-01,1.114955,1.117188,1.08817,1.109933,226195200,0.949013
"84","AAPL",2000-05-02,1.100446,1.127232,1.049107,1.052455,236432000,0.899868
"85","AAPL",2000-05-03,1.061942,1.082589,0.996652,1.027344,489798400,0.878398
"86","AAPL",2000-05-04,1.027902,1.029018,0.987165,0.988281,399515200,0.844998
"87","AAPL",2000-05-05,0.989397,1.024554,0.98856,1.010045,284076800,0.863606
"88","AAPL",2000-05-08,1.000837,1.015067,0.982143,0.983259,184900800,0.840704
"89","AAPL",2000-05-09,0.984933,0.993304,0.936384,0.941406,327140800,0.804919
"90","AAPL",2000-05-10,0.929129,0.9375,0.881696,0.886719,535091200,0.758161
"91","AAPL",2000-05-11,0.905134,0.930804,0.883929,0.917969,499744000,0.78488
"92","AAPL",2000-05-12,0.946429,0.986607,0.935407,0.960938,306913600,0.821619
"93","AAPL",2000-05-15,0.964844,0.964844,0.893973,0.901786,678932800,0.771043
"94","AAPL",2000-05-16,0.933175,0.973772,0.917411,0.943638,440451200,0.806827
"95","AAPL",2000-05-17,0.925223,0.925781,0.896205,0.905134,398092800,0.773906
"96","AAPL",2000-05-18,0.919643,0.936942,0.898438,0.899554,373777600,0.769135
